"PCB + Stencil ","jlcpcb.com ","$12.44 ","/ (coupon)"
"103450 3,7 V 1500 mAh Polymer-Lithium-Akku jst PH 2,0 mm ","https://www.aliexpress.com/item/1005009590723370.html ","$7.60 ","free"
"E-paper Screen 296x128 (GDEY029T94) ","https://buy-lcd.com/products/29-inch-e-paper-screen-296x128-raspberry-pi-spi-display-gdey029t94?VariantsId=10173 ","$7.91 ","$10"
